White Loch of Myrton	米尔顿怀特湖
Trew and Moy Station	特鲁-莫伊站
Tree o' the House	特里欧赫特豪斯
Thorpe on the Hill	中的索普山
Stanford in the Vale	内的斯坦福德谷
Mouth of the Severn	西文河口
Reigate and Banstead District	里伊盖特-班斯蒂德区
London Bridge Railway Station	伦登桥火车站
Leeds and Liverpool Canal	利兹-利弗浦运河
Geo of the Lame	莱姆吉欧
Mouth of the Humber	哈姆伯河口
Stack of the Horse	霍斯岩
Hope and Pen-y-ffordd Station	霍普-彭伊福德德站
High Barnet Underground Station	海-邦伊特-安德格朗德站
Harrow on the Hill	中的哈罗山
East and West Ridings	东-西赖丁兹
Newton of Dalvey Farm House	达尔维豪斯牛顿农场
Beinn a' Chaisgein Beag	贝恩-厄-谢斯盖恩-比格
Burton on the Wolds	伍尔兹中的伯顿
Barmby on the Marsh	中的巴姆比沼泽
Loch Bad an Sgalaig	巴德安兹盖莱湖
City and Borough of Leeds	利兹安德城区
City and Borough of Salford	瑟尔福德安德城区
Llanmelin Wood Lesser Enclosure	兰姆林-莱瑟尔-因克洛热林地
Butlers Marston Round Hill	巴特勒斯-马斯顿-朗德山
Cleobury Mortimer Castle Toot	克利欧伯里-莫蒂默-图特堡
North Elmham Bishops Castle	北埃尔姆哈姆-比肖普斯堡
Coed Allt y Tywood Mound	科埃德-阿尔特-伊-蒂伍德丘
Castell Tal y Fan	卡斯特尔特尔伊深海扇
Church of St Mary Belfry	斯特玛丽贝尔弗里教堂
Mary le Bone Hill	玛丽莱博恩山
Colmworth Manor and Motte	科尔姆沃思-莫特庄园
Old Callaly Castle Hill	旧卡勒利堡山
Sherburn in Elmet Castle Hill	埃尔米特内的舍本堡山
Old Hunstanton Old Church Mound	旧亨斯坦顿旧教堂丘
Welton le Marsh Castle Hill	韦尔顿莱沼泽堡山
Stockton on the Forest Castle Hill	中的斯托克顿森林堡山
Southampton Town Wall and Gods House Tower	绍萨姆普顿沃尔-戈兹豪斯镇塔
St Bees Priors Pele	斯特-比斯-普里奥斯-普勒
Lanercost Priory - Priors Tower	兰厄科斯特-普赖厄里-普里奥斯塔
Norwich City Wall and Cow Tower	诺威克沃尔-考城塔
West Witton Penhill Beacon	西威特顿彭希尔灯塔
Firswood Manchester Sir Matt Busby Way	弗斯伍德-门切斯特-西尔-马特-巴斯比-韦
Health & Community Hospital	赫尔斯-克缪尼蒂-霍斯皮特尔
East Devon NHS Primary Care Trust	东德文-内切斯-普赖默里-凯厄-特拉斯特
North & East Devon Partnership NHS Trust	北-东德文-帕特纳希普-内切斯-特拉斯特
Chard & District Hospital	彻德-霍斯皮特尔区
Somerset Partnership NHS Social Care Trust	萨默塞特帕特纳希普-内切斯-索舍尔-凯厄-特拉斯特
Isle Of Wight Community Healthcare NHS Trust	怀特-克缪尼蒂-赫尔斯凯厄-内切斯-特拉斯特岛
Highclere Drug Detoxifications Unit	海克利厄-德拉格-迪托克西菲凯申斯-阿尼特
Basingstoke & Alton Cardiac Rehabilitation Centre	贝辛斯托克-厄尔顿-卡迪阿克-里厄比利特申-森特
Day Hospital Princess Of Wales	韦尔兹代-霍斯皮特尔-普林塞斯
Cardigan & District Memorial Hospital	卡迪根-默莫里厄尔-霍斯皮特尔区
Wye Valley Nuffield Hospital The	怀-纽弗菲尔德-霍斯皮特尔-赫特谷
Wiltshire Shared Services N H S Consortium	威尔特希尔-谢厄德-瑟维克斯-恩-赫-斯-肯索蒂厄姆
Charlton Lane Acute Mental Illness Unit	沙尔顿-莱恩-厄丘特-门特尔-伊尔内斯-阿尼特
St Annes Orchard Psychiatric Day Hospital	斯特-阿尼斯-奥査德-赛凯厄特里克-代-霍斯皮特尔
Oxford Centre For Foot & Ankle Medicine	Error：音标生成错误
King Edward VII Hospital	金爱德华维伊霍斯皮特尔
Arundel & District Hospital	阿安迪尔-霍斯皮特尔区
West Sussex Breast Screening Service	西萨塞克斯-布雷斯特-斯克里宁-瑟维斯
Coombe Wing Private Patients Unit Kingston Hospital	库姆-温-普里韦特-佩申茨-阿尼特-金斯顿-霍斯皮特尔
South West London & St Georges NHS	南西伦登-斯特-乔杰斯-内切斯
Nuffield Hospital Haywards Heath	纽弗菲尔德-霍斯皮特尔-黑沃兹荒地
Maidstone & Tunbridge Wells NHS Trust	梅德斯通-坦布里奇-韦尔兹-内切斯-特拉斯特
East Sussex County Healthcare NHS Trust	东萨塞克斯-赫尔斯凯厄-内切斯-特拉斯特县
Spire St Saviours Hospital	斯派厄-斯特-塞弗耶斯-霍斯皮特尔
British Home & Hospital For Incurables	布里蒂什霍姆-霍斯皮特尔-福-因克耶勒布尔兹
Elizabeth Garrett Anderson Hospital For Women	伊丽莎白加勒特-安德森-霍斯皮特尔-福-伍门
BMI The Manor Hospital	布米-赫特-霍斯皮特尔庄园
Eastman Dental Hospital & Institute	Error：音标生成错误
Orsett Minor Injury Unit	奥西特-米诺-因哲里-阿尼特
Chase Farm Hospitals NHS Trust	切斯-霍斯皮特尔兹-内切斯-特拉斯特农场
Saffron Walden Community Hospital	萨弗伦-沃登-克缪尼蒂-霍斯皮特尔
